Antall datapunkter: 100
X: 1.000, Y: 0.000, Z: 0.000, r: 1.000, g: 1.000, b: 1.000
X: 0.995, Y: 0.100, Z: 0.100, r: 1.000, g: 1.000, b: 1.000
X: 0.980, Y: 0.199, Z: 0.200, r: 1.000, g: 1.000, b: 1.000
X: 0.955, Y: 0.296, Z: 0.300, r: 1.000, g: 1.000, b: 1.000
X: 0.921, Y: 0.389, Z: 0.400, r: 1.000, g: 1.000, b: 1.000
X: 0.878, Y: 0.479, Z: 0.500, r: 1.000, g: 1.000, b: 1.000
X: 0.825, Y: 0.565, Z: 0.600, r: 1.000, g: 1.000, b: 1.000
X: 0.765, Y: 0.644, Z: 0.700, r: 1.000, g: 1.000, b: 1.000
X: 0.697, Y: 0.717, Z: 0.800, r: 1.000, g: 1.000, b: 1.000
X: 0.622, Y: 0.783, Z: 0.900, r: 1.000, g: 1.000, b: 1.000
X: 0.540, Y: 0.841, Z: 1.000, r: 1.000, g: 1.000, b: 1.000
X: 0.454, Y: 0.891, Z: 1.100, r: 1.000, g: 1.000, b: 1.000
X: 0.362, Y: 0.932, Z: 1.200, r: 1.000, g: 1.000, b: 1.000
X: 0.267, Y: 0.964, Z: 1.300, r: 1.000, g: 1.000, b: 1.000
X: 0.170, Y: 0.985, Z: 1.400, r: 1.000, g: 1.000, b: 1.000
X: 0.071, Y: 0.997, Z: 1.500, r: 1.000, g: 1.000, b: 1.000
X: -0.029, Y: 1.000, Z: 1.600, r: 1.000, g: 1.000, b: 1.000
X: -0.129, Y: 0.992, Z: 1.700, r: 1.000, g: 1.000, b: 1.000
X: -0.227, Y: 0.974, Z: 1.800, r: 1.000, g: 1.000, b: 1.000
X: -0.323, Y: 0.946, Z: 1.900, r: 1.000, g: 1.000, b: 1.000
X: -0.416, Y: 0.909, Z: 2.000, r: 1.000, g: 1.000, b: 1.000
X: -0.505, Y: 0.863, Z: 2.100, r: 1.000, g: 1.000, b: 1.000
X: -0.589, Y: 0.808, Z: 2.200, r: 1.000, g: 1.000, b: 1.000
X: -0.666, Y: 0.746, Z: 2.300, r: 1.000, g: 1.000, b: 1.000
X: -0.737, Y: 0.675, Z: 2.400, r: 1.000, g: 1.000, b: 1.000
X: -0.801, Y: 0.598, Z: 2.500, r: 1.000, g: 1.000, b: 1.000
X: -0.857, Y: 0.516, Z: 2.600, r: 1.000, g: 1.000, b: 1.000
X: -0.904, Y: 0.427, Z: 2.700, r: 1.000, g: 1.000, b: 1.000
X: -0.942, Y: 0.335, Z: 2.800, r: 1.000, g: 1.000, b: 1.000
X: -0.971, Y: 0.239, Z: 2.900, r: 1.000, g: 1.000, b: 1.000
X: -0.990, Y: 0.141, Z: 3.000, r: 1.000, g: 1.000, b: 1.000
X: -0.999, Y: 0.042, Z: 3.100, r: 1.000, g: 1.000, b: 1.000
X: -0.998, Y: -0.058, Z: 3.200, r: 1.000, g: 1.000, b: 1.000
X: -0.987, Y: -0.158, Z: 3.300, r: 1.000, g: 1.000, b: 1.000
X: -0.967, Y: -0.256, Z: 3.400, r: 1.000, g: 1.000, b: 1.000
X: -0.936, Y: -0.351, Z: 3.500, r: 1.000, g: 1.000, b: 1.000
X: -0.897, Y: -0.443, Z: 3.600, r: 1.000, g: 1.000, b: 1.000
X: -0.848, Y: -0.530, Z: 3.700, r: 1.000, g: 1.000, b: 1.000
X: -0.791, Y: -0.612, Z: 3.800, r: 1.000, g: 1.000, b: 1.000
X: -0.726, Y: -0.688, Z: 3.900, r: 1.000, g: 1.000, b: 1.000
X: -0.654, Y: -0.757, Z: 4.000, r: 1.000, g: 1.000, b: 1.000
X: -0.575, Y: -0.818, Z: 4.100, r: 1.000, g: 1.000, b: 1.000
X: -0.490, Y: -0.872, Z: 4.200, r: 1.000, g: 1.000, b: 1.000
X: -0.401, Y: -0.916, Z: 4.300, r: 1.000, g: 1.000, b: 1.000
X: -0.307, Y: -0.952, Z: 4.400, r: 1.000, g: 1.000, b: 1.000
X: -0.211, Y: -0.978, Z: 4.500, r: 1.000, g: 1.000, b: 1.000
X: -0.112, Y: -0.994, Z: 4.600, r: 1.000, g: 1.000, b: 1.000
X: -0.012, Y: -1.000, Z: 4.700, r: 1.000, g: 1.000, b: 1.000
X: 0.087, Y: -0.996, Z: 4.800, r: 1.000, g: 1.000, b: 1.000
X: 0.187, Y: -0.982, Z: 4.900, r: 1.000, g: 1.000, b: 1.000
X: 0.284, Y: -0.959, Z: 5.000, r: 1.000, g: 1.000, b: 1.000
X: 0.378, Y: -0.926, Z: 5.100, r: 1.000, g: 1.000, b: 1.000
X: 0.469, Y: -0.883, Z: 5.200, r: 1.000, g: 1.000, b: 1.000
X: 0.554, Y: -0.832, Z: 5.300, r: 1.000, g: 1.000, b: 1.000
X: 0.635, Y: -0.773, Z: 5.400, r: 1.000, g: 1.000, b: 1.000
X: 0.709, Y: -0.706, Z: 5.500, r: 1.000, g: 1.000, b: 1.000
X: 0.776, Y: -0.631, Z: 5.600, r: 1.000, g: 1.000, b: 1.000
X: 0.835, Y: -0.551, Z: 5.700, r: 1.000, g: 1.000, b: 1.000
X: 0.886, Y: -0.465, Z: 5.800, r: 1.000, g: 1.000, b: 1.000
X: 0.927, Y: -0.374, Z: 5.900, r: 1.000, g: 1.000, b: 1.000
X: 0.960, Y: -0.279, Z: 6.000, r: 1.000, g: 1.000, b: 1.000
X: 0.983, Y: -0.182, Z: 6.100, r: 1.000, g: 1.000, b: 1.000
X: 0.997, Y: -0.083, Z: 6.200, r: 1.000, g: 1.000, b: 1.000
X: 1.000, Y: 0.017, Z: 6.300, r: 1.000, g: 1.000, b: 1.000
X: 0.993, Y: 0.117, Z: 6.400, r: 1.000, g: 1.000, b: 1.000
X: 0.977, Y: 0.215, Z: 6.500, r: 1.000, g: 1.000, b: 1.000
X: 0.950, Y: 0.312, Z: 6.600, r: 1.000, g: 1.000, b: 1.000
X: 0.914, Y: 0.405, Z: 6.700, r: 1.000, g: 1.000, b: 1.000
X: 0.869, Y: 0.494, Z: 6.800, r: 1.000, g: 1.000, b: 1.000
X: 0.816, Y: 0.578, Z: 6.900, r: 1.000, g: 1.000, b: 1.000
X: 0.754, Y: 0.657, Z: 7.000, r: 1.000, g: 1.000, b: 1.000
X: 0.685, Y: 0.729, Z: 7.100, r: 1.000, g: 1.000, b: 1.000
X: 0.608, Y: 0.794, Z: 7.200, r: 1.000, g: 1.000, b: 1.000
X: 0.526, Y: 0.850, Z: 7.300, r: 1.000, g: 1.000, b: 1.000
X: 0.439, Y: 0.899, Z: 7.400, r: 1.000, g: 1.000, b: 1.000
X: 0.347, Y: 0.938, Z: 7.500, r: 1.000, g: 1.000, b: 1.000
X: 0.251, Y: 0.968, Z: 7.600, r: 1.000, g: 1.000, b: 1.000
X: 0.153, Y: 0.988, Z: 7.700, r: 1.000, g: 1.000, b: 1.000
X: 0.054, Y: 0.999, Z: 7.800, r: 1.000, g: 1.000, b: 1.000
X: -0.046, Y: 0.999, Z: 7.900, r: 1.000, g: 1.000, b: 1.000
X: -0.145, Y: 0.989, Z: 8.000, r: 1.000, g: 1.000, b: 1.000
